Titular,Link,resultado
San Martín ganó a Universitario y es finalista de la Liga Peruana de Vóley,/deportes/voley/2026/04/07/universitario-vs-san-martin-en-vivo-gratis-extra-game-de-liga-peruana-de-voley-via-latina-canal-2-video-vilb-103376,Victoria
Universitario ganó 3-0 a San Martín y jugará el extra game por el pase a la final,/deportes/voley/2026/04/03/universitario-vs-san-martin-en-vivo-hoy-semifinal-de-vuelta-liga-peruana-de-voley-202526-via-latina-294693,Victoria
"Jugadora de la San Martín reveló que venció a Universitario pese a dura lesión: ""Desgarro de...""",/deportes/voley/2026/03/30/voley-jugadora-de-san-martin-revelo-vencio-universitario-pese-lesion-de-desgarro-802230,Victoria
San Martín ganó a Universitario y es finalista de la Liga Peruana de Vóley,/deportes/voley/2026/04/07/universitario-vs-san-martin-en-vivo-gratis-extra-game-de-liga-peruana-de-voley-via-latina-canal-2-video-vilb-103376,Victoria
Universitario ganó 3-0 a San Martín y jugará el extra game por el pase a la final,/deportes/voley/2026/04/03/universitario-vs-san-martin-en-vivo-hoy-semifinal-de-vuelta-liga-peruana-de-voley-202526-via-latina-294693,Victoria
"Jugadora de la San Martín reveló que venció a Universitario pese a dura lesión: ""Desgarro de...""",/deportes/voley/2026/03/30/voley-jugadora-de-san-martin-revelo-vencio-universitario-pese-lesion-de-desgarro-802230,Victoria
San Martín ganó a Universitario y es finalista de la Liga Peruana de Vóley,/deportes/voley/2026/04/07/universitario-vs-san-martin-en-vivo-gratis-extra-game-de-liga-peruana-de-voley-via-latina-canal-2-video-vilb-103376,Victoria
Universitario ganó 3-0 a San Martín y jugará el extra game por el pase a la final,/deportes/voley/2026/04/03/universitario-vs-san-martin-en-vivo-hoy-semifinal-de-vuelta-liga-peruana-de-voley-202526-via-latina-294693,Victoria
"Jugadora de la San Martín reveló que venció a Universitario pese a dura lesión: ""Desgarro de...""",/deportes/voley/2026/03/30/voley-jugadora-de-san-martin-revelo-vencio-universitario-pese-lesion-de-desgarro-802230,Victoria
San Martín ganó a Universitario y es finalista de la Liga Peruana de Vóley,/deportes/voley/2026/04/07/universitario-vs-san-martin-en-vivo-gratis-extra-game-de-liga-peruana-de-voley-via-latina-canal-2-video-vilb-103376,Victoria
Universitario ganó 3-0 a San Martín y jugará el extra game por el pase a la final,/deportes/voley/2026/04/03/universitario-vs-san-martin-en-vivo-hoy-semifinal-de-vuelta-liga-peruana-de-voley-202526-via-latina-294693,Victoria
"Jugadora de la San Martín reveló que venció a Universitario pese a dura lesión: ""Desgarro de...""",/deportes/voley/2026/03/30/voley-jugadora-de-san-martin-revelo-vencio-universitario-pese-lesion-de-desgarro-802230,Victoria
San Martín ganó a Universitario y es finalista de la Liga Peruana de Vóley,/deportes/voley/2026/04/07/universitario-vs-san-martin-en-vivo-gratis-extra-game-de-liga-peruana-de-voley-via-latina-canal-2-video-vilb-103376,Victoria
Universitario ganó 3-0 a San Martín y jugará el extra game por el pase a la final,/deportes/voley/2026/04/03/universitario-vs-san-martin-en-vivo-hoy-semifinal-de-vuelta-liga-peruana-de-voley-202526-via-latina-294693,Victoria
"Jugadora de la San Martín reveló que venció a Universitario pese a dura lesión: ""Desgarro de...""",/deportes/voley/2026/03/30/voley-jugadora-de-san-martin-revelo-vencio-universitario-pese-lesion-de-desgarro-802230,Victoria
Universitario ganó su partido,,Victoria
Alianza lima perdió contra Universitario,,Derrota
Universitario venció a Alianza lima,,Victoria
Universitario le remontó a Alianza lima,,Victoria
Universitario vs San Martín por el pase a la final de la Liga Peruana de Vóley: día y hora del extra game,/deportes/voley/2026/04/04/universitario-vs-san-martin-pase-final-de-liga-peruana-de-voley-dia-hora-del-extra-game-56396,Neutral
VIDEO: Universitario sacó un punto en su visita a Tolima por Copa Libertadores 2026,/deporte-total/futbol-peruano/espn-en-vivo-gratis-ver-universitario-vs-tolima-hoy-por-internet-via-disney-plus-por-copa-libertadores-2026-video-noticia/,Neutral
"SIGUE, Universitario vs Tolima EN VIVO: juegan en Ibagué por la fecha 1 de la Copa Libertadores 2026",https://rpp.pe/futbol/copa-libertadores/universitario-vs-tolima-en-vivo-ver-espn-transmision-online-fecha-1-copa-libertadores-2026-link-gratis-partidos-de-hoy-noticia-1683087,Neutral
